вид спорта,процент вилки,время жизни вилки,название противоположной бк,команда 1,команда 2,вид ставки,коэффициент на Bet365,количество инициаторов у Bet365,коэффициент противоположной БК,количество инициаторов противоположной БК,кто является инициатором
Киберфутбол,0.93,2 сек,Betcity,Valencia (CarlWhizzer) Esports,A.Madrid (OoLancer) Esports,Команда1 Тб(1.5),41,1,1.352,2,0
Киберфутбол,0,0 сек,Favbet,Valencia (CarlWhizzer) Esports,A.Madrid (OoLancer) Esports,Тб(3.5),1.9091,1,2.16,6,Favbet
Киберфутбол,0.43,10 сек,1xbet,Im Not Over (PNZ) Esports,Rockmen (ROC) Esports,1X,2.3751,1,1.744,4,1xbet
Киберфутбол,7.95,14 сек,Favbet,Valencia (CarlWhizzer) Esports,A.Madrid (OoLancer) Esports,Тб(3),1.91,1,2.54,4,Favbet
Киберфутбол,2.58,3 сек,Unibet,Sevilla (skripp) Esports,A.Bilbao (fleshka77) Esports,12,1.5331,1,3.12,2,0
Киберфутбол,2.94,26 сек,Unibet,Sevilla (skripp) Esports,A.Bilbao (fleshka77) Esports,Тб(3.5),2.52,2,1.753,3,0
Киберфутбол,1.56,2 сек,Betcity,Valencia (CarlWhizzer) Esports,A.Madrid (OoLancer) Esports,Тб(2.25),1.8251,1,2.293,3,0
Киберфутбол,0.23,18 сек,1xbet,Sevilla (skripp) Esports,A.Bilbao (fleshka77) Esports,1,4.3335,5,1.3042,2,Bet365
Киберфутбол,0.67,0 сек,1xbet,Im Not Over (PNZ) Esports,Rockmen (ROC) Esports,Тб(9.5),1.9091,1,2.132,2,0
Киберфутбол,1.9,2 сек,Betcity,Sevilla (skripp) Esports,Barcelona (stdm) Esports,Команда1 Тб(1.5),2.51,1,1.722,2,0
Киберфутбол,0.93,3 сек,Betcity,Valencia (CarlWhizzer) Esports,A.Bilbao (fleshka77) Esports,Команда2 Тб(1.5),41,1,1.352,2,0
Киберфутбол,3.61,37 сек,Betcity,Valencia (CarlWhizzer) Esports,A.Bilbao (fleshka77) Esports,Тб(4.5),22,2,2.156,6,Betcity
Киберфутбол,22.45,2 сек,Unibet,Valencia (CarlWhizzer) Esports,A.Bilbao (fleshka77) Esports,Тб(5.5),2.55,5,2.413,13,Unibet
Киберфутбол,35.4,1 сек,Unibet,Valencia (CarlWhizzer) Esports,A.Bilbao (fleshka77) Esports,Г1(-3),3.45,5,2.257,7,0
Киберфутбол,0,0 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Команда2 Тб(3.5),2.251,1,1.81,1,0
Киберфутбол,3.61,23 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Г2(-2),22,2,2.155,5,Betcity
Киберфутбол,0,0 сек,Betcity,Barcelona (stdm) Esports,A.Bilbao (fleshka77) Esports,Тб(4.5),21,1,21,1,0
Киберфутбол,0.49,14 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Г2(-3),2.21,1,1.852,2,0
Киберфутбол,0.18,13 сек,Betcity,Barcelona (stdm) Esports,A.Bilbao (fleshka77) Esports,Команда2 Тб(1.5),2.6251,1,1.622,2,0
Киберфутбол,3.99,35 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Команда2 Тб(4.5),2.3751,1,1.853,3,0
Киберфутбол,8.86,3 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Гола не будет(4),81,1,1.262,2,0
Киберфутбол,17.89,2 сек,Betcity,Barcelona (stdm) Esports,A.Bilbao (fleshka77) Esports,1,3.252,2,1.852,2,0
Киберфутбол,6.24,7 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Г2(-4),2.12,2,2.157,7,Betcity
Киберфутбол,21.57,1 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Ф2(-5),22,2,3.12,2,0
Киберфутбол,18.21,4 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Г2(-5),3.64,4,1.764,4,0
Киберфутбол,15.54,24 сек,Betcity,Sevilla (skripp) Esports,A.Madrid (OoLancer) Esports,Тб(5.5),2.3755,5,2.2510,10,Betcity
Киберфутбол,3.99,0 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,2,2.3753,3,1.856,6,Betcity
Киберфутбол,3.29,2 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,Г2(-1),2.54,4,1.763,3,0
Киберфутбол,3.61,2 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,Тб(6.5),24,4,2.156,6,0
Киберфутбол,4.05,0 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,Г1(1),3.752,2,1.446,6,Betcity
Киберфутбол,4.46,0 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,Команда2 Тб(3.5),2.253,3,1.952,2,0
Киберфутбол,8.05,44 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,Тб(5.5),23,3,2.3513,13,Betcity
Киберфутбол,0.55,1 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,1,81,1,1.155,5,Betcity
Киберфутбол,1.41,0 сек,Betcity,Sevilla (skripp) Esports,Valencia (CarlWhizzer) Esports,2,3.754,4,1.394,4,0
Киберфутбол,5.88,29 сек,Betcity,A.Bilbao (fleshka77) Esports,Sevilla (skripp) Esports,Тб(2.5),25,5,2.257,7,0
Киберфутбол,5.86,1 мин 8 сек,Betcity,A.Bilbao (fleshka77) Esports,Sevilla (skripp) Esports,Команда2 Тб(1.5),3.251,1,1.574,4,Betcity
Киберфутбол,1.52,1 мин 27 сек,Betcity,A.Bilbao (fleshka77) Esports,Sevilla (skripp) Esports,Обе команды забьют,2.251,1,1.853,3,0
Киберфутбол,2.02,0 сек,Betcity,A.Bilbao (fleshka77) Esports,Sevilla (skripp) Esports,Команда1 Тб(1.5),3.51,1,1.442,2,0
Киберфутбол,3,5 сек,Betcity,A.Bilbao (fleshka77) Esports,Sevilla (skripp) Esports,Тб(2.25),2.051,1,2.073,3,0
Киберфутбол,1.11,1 сек,Betcity,A.Madrid (OoLancer) Esports,Valencia (CarlWhizzer) Esports,Г1(-3),2.12,2,1.951,1,0
Киберфутбол,1.9,2 сек,Betcity,Barcelona (stdm) Esports,Sevilla (skripp) Esports,Команда1 Тб(2.5),2.51,1,1.722,2,0
Киберфутбол,1.95,38 сек,Betcity,Barcelona (stdm) Esports,Sevilla (skripp) Esports,Тб(4.5),2.21,1,1.95,5,Betcity
Киберфутбол,8.05,1 мин 16 сек,Betcity,Barcelona (stdm) Esports,Sevilla (skripp) Esports,Тб(3.5),24,4,2.358,8,Betcity
Киберфутбол,1.11,3 сек,Betcity,Barcelona (stdm) Esports,Sevilla (skripp) Esports,Команда1 Тб(1.5),2.11,1,1.952,2,0
Киберфутбол,3.61,11 сек,Betcity,Barcelona (stdm) Esports,Sevilla (skripp) Esports,Тб(2.5),23,3,2.159,9,Betcity
Киберфутбол,0,0 сек,Betcity,Barcelona (stdm) Esports,Sevilla (skripp) Esports,1,111,1,1.14,4,Betcity
Киберфутбол,0,1 сек,Betcity,Liverpool (fleshka77) Esports,Bayern (stdm) Esports,Команда1 Тб(2.5),2.251,1,1.82,2,0
Киберфутбол,3.91,2 сек,Betcity,Man City (Oolancer) Esports,PSG (skripp) Esports,Команда2 Тб(1.5),2.6251,1,1.723,3,0
Киберфутбол,3.85,2 сек,Unibet,Man City (Oolancer) Esports,PSG (skripp) Esports,Тб(4.5),21,1,2.1611,11,Unibet
Киберфутбол,0,2 сек,Unibet,Man City (Oolancer) Esports,PSG (skripp) Esports,X2,3.51,1,1.45,5,Unibet
Киберфутбол,5.88,23 сек,Betcity,Man City (Oolancer) Esports,PSG (skripp) Esports,Тб(3.5),24,4,2.259,9,Betcity
Киберфутбол,1.32,4 сек,Betcity,Real Madrid (CarlWhizzer) Esports,Man City (Oolancer) Esports,Команда1 Тб(1.5),33,3,1.532,2,0
Киберфутбол,1.55,5 сек,Betcity,PSG (skripp) Esports,Liverpool (fleshka77) Esports,2,2.8751,1,1.575,5,Betcity
Киберфутбол,5.88,17 сек,Betcity,PSG (skripp) Esports,Liverpool (fleshka77) Esports,Команда2 Тб(1.5),21,1,2.254,4,Betcity
Киберфутбол,1.95,0 сек,Betcity,PSG (skripp) Esports,Liverpool (fleshka77) Esports,Тб(3.5),2.21,1,1.94,4,Betcity
Киберфутбол,3.37,0 сек,Betcity,Real Madrid (CarlWhizzer) Esports,Man City (Oolancer) Esports,Тб(5.5),2.21,1,1.959,9,Betcity
Киберфутбол,0.02,1 сек,1xbet,PSG (skripp) Esports,Liverpool (fleshka77) Esports,Тб(2.5),2.11,1,1.912,2,0
Киберфутбол,0,1 сек,Betcity,PSG (skripp) Esports,Bayern (stdm) Esports,Тб(4.5),21,1,24,4,Betcity
Киберфутбол,1.72,2 сек,Unibet,PSG (skripp) Esports,Man City (Oolancer) Esports,Тб(4.5),23,3,2.073,3,0
Киберфутбол,0.63,3 сек,Betcity,PSG (skripp) Esports,Man City (Oolancer) Esports,Г2(-4),3.11,1,1.492,2,0
Киберфутбол,1.96,2 сек,Unibet,PSG (skripp) Esports,Man City (Oolancer) Esports,Тб(5.5),23,3,2.085,5,0
Киберфутбол,0.18,4 сек,Betcity,PSG (skripp) Esports,Man City (Oolancer) Esports,Г2(-4),2.6251,1,1.623,3,0
Киберфутбол,3.61,10 сек,Betcity,Man City (Oolancer) Esports,Liverpool (fleshka77) Esports,Тб(4.5),22,2,2.157,7,Betcity
Киберфутбол,3.29,11 сек,Betcity,Bayern (stdm) Esports,Real Madrid (CarlWhizzer) Esports,Команда1 Тб(2.5),2.53,3,1.763,3,0
Киберфутбол,0,0 сек,Betcity,Bayern (stdm) Esports,Real Madrid (CarlWhizzer) Esports,Команда2 Тб(2.5),21,1,23,3,0
Киберфутбол,2.44,3 сек,Unibet,Bayern (stdm) Esports,Real Madrid (CarlWhizzer) Esports,Тб(4.5),21,1,2.19,9,Unibet
Киберфутбол,1.52,1 сек,Betcity,Man City (Oolancer) Esports,Liverpool (fleshka77) Esports,Тб(5.5),2.251,1,1.856,6,Betcity
Киберфутбол,0.3,2 сек,1xbet,Man City (Oolancer) Esports,Liverpool (fleshka77) Esports,Гола не будет(5),2.12,2,1.923,3,0
Киберфутбол,0,2 сек,Betcity,PSG (skripp) Esports,Real Madrid (CarlWhizzer) Esports,Тб(3.5),21,1,24,4,Betcity
Киберфутбол,1.23,3 сек,Betcity,PSG (skripp) Esports,Real Madrid (CarlWhizzer) Esports,Тб(3.5),22,2,2.056,6,Betcity
Киберфутбол,39.91,6 сек,Betcity,PSG (skripp) Esports,Real Madrid (CarlWhizzer) Esports,2,7.54,4,1.722,2,0
Киберфутбол,2.63,0 сек,1xbet,PSG (skripp) Esports,Real Madrid (CarlWhizzer) Esports,Гола не будет(5),35,5,1.563,3,0
Киберфутбол,6.46,1 мин 6 сек,Unibet,Man City (Oolancer) Esports,Real Madrid (CarlWhizzer) Esports,Г1(-5),3.54,4,1.533,3,0
Киберфутбол,9.94,2 сек,Betcity,Man City (Oolancer) Esports,Real Madrid (CarlWhizzer) Esports,Тб(6.5),2.253,3,2.1515,15,Betcity
Киберфутбол,0.49,2 сек,Betcity,Liverpool (fleshka77) Esports,PSG (skripp) Esports,Команда2 Тб(1.5),2.21,1,1.852,2,0
Киберфутбол,5.88,33 сек,Betcity,Liverpool (fleshka77) Esports,PSG (skripp) Esports,Тб(3.5),25,5,2.2510,10,Betcity
Киберфутбол,3.61,13 сек,Betcity,Man City (Oolancer) Esports,Real Madrid (CarlWhizzer) Esports,Тб(5.5),22,2,2.159,9,Betcity
Киберфутбол,1.11,4 сек,Betcity,Man City (Oolancer) Esports,Real Madrid (CarlWhizzer) Esports,Г1(-4),2.12,2,1.956,6,Betcity
Киберфутбол,0,3 сек,1xbet,Man City (Oolancer) Esports,Real Madrid (CarlWhizzer) Esports,Гола не будет(5),3.53,3,1.43,3,0
Киберфутбол,1.23,2 сек,Betcity,Liverpool (fleshka77) Esports,Real Madrid (CarlWhizzer) Esports,Тб(4.5),21,1,2.054,4,Betcity
Киберфутбол,0.18,1 сек,Betcity,Liverpool (fleshka77) Esports,Real Madrid (CarlWhizzer) Esports,Команда1 Тб(2.5),2.6251,1,1.622,2,0
Киберфутбол,0,11 сек,Betcity,Bayern (stdm) Esports,PSG (skripp) Esports,Тб(4.5),21,1,28,8,0
Киберфутбол,1.11,3 сек,Betcity,Bayern (stdm) Esports,PSG (skripp) Esports,Команда2 Тб(2.5),2.11,1,1.954,4,Betcity
Киберфутбол,10.11,11 сек,Unibet,Liverpool (fleshka77) Esports,Real Madrid (CarlWhizzer) Esports,Тб(3.5),24,4,2.4514,14,Unibet
Киберфутбол,3.61,1 сек,Betcity,Bayern (stdm) Esports,PSG (skripp) Esports,Тб(5.5),21,1,2.1511,11,Betcity
Киберфутбол,0.93,0 сек,Betcity,Bayern (stdm) Esports,PSG (skripp) Esports,2,41,1,1.358,8,Betcity
Киберфутбол,0,1 сек,Betcity,Bayern (stdm) Esports,PSG (skripp) Esports,Тб(6.5),21,1,29,9,Betcity
Киберфутбол,0.63,6 сек,Betcity,Liverpool (fleshka77) Esports,Real Madrid (CarlWhizzer) Esports,2,3.11,1,1.498,8,Betcity
Киберфутбол,0.12,0 сек,1xbet,Bayern (stdm) Esports,PSG (skripp) Esports,Гола не будет(7),2.51,1,1.675,5,1xbet
Киберфутбол,1.18,3 сек,1xbet,Hoffenheim (OoLancer) Esports,B.M'gladbach (skripp) Esports,Команда2 Тб(1.5),4.3333,3,1.322,2,0
Киберфутбол,1.18,1 мин 24 сек,1xbet,Hoffenheim (OoLancer) Esports,B.M'gladbach (skripp) Esports,Команда2 Тб(1.5),4.3333,3,1.322,2,0
Киберфутбол,0,1 сек,Betcity,Bayer 04 (fleshka77) Esports,RB Leipzig (stdm) Esports,Тб(4.5),21,1,24,4,Betcity
Киберфутбол,6.24,48 сек,Betcity,Hoffenheim (OoLancer) Esports,B.M'gladbach (skripp) Esports,Тб(4.5),2.17,7,2.155,5,0
Киберфутбол,3.61,31 сек,Betcity,Bayer 04 (fleshka77) Esports,RB Leipzig (stdm) Esports,Команда1 Тб(1.5),23,3,2.153,3,0
Киберфутбол,3.61,59 сек,Betcity,Bayer 04 (fleshka77) Esports,RB Leipzig (stdm) Esports,Тб(3.5),21,1,2.158,8,Betcity
Киберфутбол,0,2 сек,Betcity,Hoffenheim (OoLancer) Esports,B.M'gladbach (skripp) Esports,Г1(-3),2.251,1,1.82,2,0
Киберфутбол,1.23,2 сек,Betcity,Bayer 04 (fleshka77) Esports,RB Leipzig (stdm) Esports,Команда2 Тб(1.5),21,1,2.053,3,0
Киберфутбол,8.05,15 сек,Betcity,Bayer 04 (fleshka77) Esports,RB Leipzig (stdm) Esports,Тб(2.5),28,8,2.356,6,0
Киберфутбол,1.95,4 сек,Betcity,Hoffenheim (OoLancer) Esports,B.M'gladbach (skripp) Esports,Тм(4.5),2.23,3,1.94,4,0
Киберфутбол,0.12,0 сек,1xbet,Hoffenheim (OoLancer) Esports,B.M'gladbach (skripp) Esports,Тб(5.5),2.54,4,1.673,3,0
Киберфутбол,1.65,2 сек,1xbet,Bayer 04 (fleshka77) Esports,RB Leipzig (stdm) Esports,Гола не будет(2),3.44,4,1.453,3,0
Киберфутбол,0.49,0 сек,Betcity,Bayer 04 (fleshka77) Esports,Hoffenheim (OoLancer) Esports,Тб(4.5),2.21,1,1.853,3,0
Киберфутбол,0,0 сек,Betcity,Bayer 04 (fleshka77) Esports,Hoffenheim (OoLancer) Esports,Команда2 Тб(3.5),2.251,1,1.82,2,0
Киберфутбол,6.12,0 сек,Betcity,Bayer 04 (fleshka77) Esports,Hoffenheim (OoLancer) Esports,Тб(3.5),2.25,5,2.057,7,0
Киберфутбол,1.95,2 сек,Betcity,Dortmund (CarlWhizzer) Esports,RB Leipzig (stdm) Esports,Тб(4.5),2.21,1,1.93,3,0
Киберфутбол,0.56,7 сек,1xbet,Dortmund (CarlWhizzer) Esports,RB Leipzig (stdm) Esports,Тб(5.5),2.6252,2,1.633,3,0
Киберфутбол,10.91,3 сек,Betcity,Dortmund (CarlWhizzer) Esports,RB Leipzig (stdm) Esports,Ф1(-4.25),22,2,2.492,2,0
Киберфутбол,11.43,1 сек,Betcity,Dortmund (CarlWhizzer) Esports,RB Leipzig (stdm) Esports,Г1(-4),2.62,2,1.957,7,Betcity
Киберфутбол,3.02,1 сек,1xbet,Bayer 04 (fleshka77) Esports,Hoffenheim (OoLancer) Esports,Г2(-5),3.53,3,1.462,2,0
Киберфутбол,0.27,0 сек,1xbet,Dortmund (CarlWhizzer) Esports,RB Leipzig (stdm) Esports,Гола не будет(5),3.251,1,1.454,4,1xbet
Киберфутбол,0.84,7 сек,Betcity,RB Leipzig (stdm) Esports,Hoffenheim (OoLancer) Esports,Команда2 Тб(5.5),2.52,2,1.692,2,0
Киберфутбол,0.19,4 сек,1xbet,RB Leipzig (stdm) Esports,Hoffenheim (OoLancer) Esports,Г2(-4),2.63,3,1.632,2,0
Киберфутбол,1.11,0 сек,Betcity,RB Leipzig (stdm) Esports,Hoffenheim (OoLancer) Esports,Тб(6.5),2.11,1,1.951,1,0
Киберфутбол,1.16,3 сек,1xbet,RB Leipzig (stdm) Esports,Hoffenheim (OoLancer) Esports,Г1(2),3.43,3,1.442,2,0
Киберфутбол,1.15,2 сек,1xbet,RB Leipzig (stdm) Esports,Hoffenheim (OoLancer) Esports,Г1(2),2.753,3,1.63,3,0
Киберфутбол,1.38,3 сек,1xbet,RB Leipzig (stdm) Esports,Hoffenheim (OoLancer) Esports,Гола не будет(6),2.14,4,1.962,2,0
Киберфутбол,0.56,0 сек,1xbet,Dortmund (CarlWhizzer) Esports,Hoffenheim (OoLancer) Esports,Команда1 Тб(3.5),2.6252,2,1.631,1,0
Киберфутбол,3.62,1 сек,Betcity,Dortmund (CarlWhizzer) Esports,Hoffenheim (OoLancer) Esports,1,2.8751,1,1.624,4,Betcity
Киберфутбол,6.24,11 сек,Betcity,Dortmund (CarlWhizzer) Esports,Hoffenheim (OoLancer) Esports,Тб(4.5),2.17,7,2.155,5,0
Киберфутбол,0.19,2 сек,Betcity,Dortmund (CarlWhizzer) Esports,Hoffenheim (OoLancer) Esports,2,9.51,1,1.122,2,0
Киберфутбол,1.16,6 сек,1xbet,Dortmund (CarlWhizzer) Esports,Bayer 04 (fleshka77) Esports,Команда2 Тб(1.5),3.41,1,1.443,3,0
Киберфутбол,0.84,3 сек,Betcity,B.M'gladbach (skripp) Esports,RB Leipzig (stdm) Esports,Команда1 Тб(1.5),2.54,4,1.693,3,0
Киберфутбол,1.91,2 сек,Unibet,Dortmund (CarlWhizzer) Esports,Bayer 04 (fleshka77) Esports,Тм(4.5),2.11,1,1.983,3,0
Киберфутбол,1.23,3 сек,Betcity,B.M'gladbach (skripp) Esports,RB Leipzig (stdm) Esports,Тб(3.5),22,2,2.054,4,0
Киберфутбол,0.76,3 сек,1xbet,B.M'gladbach (skripp) Esports,RB Leipzig (stdm) Esports,Тб(4.5),2.3755,5,1.753,3,0
Киберфутбол,0.25,2 сек,1xbet,Dortmund (CarlWhizzer) Esports,Bayer 04 (fleshka77) Esports,Тб(5.5),21,1,2.014,4,1xbet
Киберфутбол,1.23,1 сек,Betcity,B.M'gladbach (skripp) Esports,Hoffenheim (OoLancer) Esports,Тб(3.5),24,4,2.052,2,0
Киберфутбол,1.95,5 сек,Betcity,B.M'gladbach (skripp) Esports,Hoffenheim (OoLancer) Esports,Тб(4.5),2.24,4,1.95,5,0
Киберфутбол,0,1 сек,Betcity,B.M'gladbach (skripp) Esports,Hoffenheim (OoLancer) Esports,Команда2 Тб(3.5),21,1,23,3,0
Киберфутбол,1.95,3 сек,Betcity,RB Leipzig (stdm) Esports,Bayer 04 (fleshka77) Esports,Тб(5.5),2.22,2,1.97,7,Betcity
Киберфутбол,1.52,28 сек,Betcity,RB Leipzig (stdm) Esports,Dortmund (CarlWhizzer) Esports,Команда1 Тб(1.5),2.251,1,1.853,3,0
Киберфутбол,2.02,11 сек,Betcity,B.M'gladbach (skripp) Esports,Dortmund (CarlWhizzer) Esports,Г2(-4),3.51,1,1.442,2,0
Киберфутбол,1.11,3 сек,Betcity,B.M'gladbach (skripp) Esports,Dortmund (CarlWhizzer) Esports,Тб(4.5),2.11,1,1.955,5,Betcity
Киберфутбол,0.44,1 сек,1xbet,B.M'gladbach (skripp) Esports,Dortmund (CarlWhizzer) Esports,Гола не будет(4),31,1,1.512,2,0
Киберфутбол,3.01,24 сек,Betcity,Bayer 04 (fleshka77) Esports,B.M'gladbach (skripp) Esports,Команда2 Тб(1.5),2.253,3,1.93,3,0
Киберфутбол,0.49,2 сек,Betcity,Hoffenheim (OoLancer) Esports,Dortmund (CarlWhizzer) Esports,Тб(5.5),2.21,1,1.853,3,0
Киберфутбол,1.11,0 сек,Betcity,Bayer 04 (fleshka77) Esports,B.M'gladbach (skripp) Esports,Тб(4.5),2.11,1,1.953,3,0
Киберфутбол,1.23,2 сек,Betcity,Hoffenheim (OoLancer) Esports,Dortmund (CarlWhizzer) Esports,Тб(4.5),22,2,2.051,1,0
Киберфутбол,1.23,2 сек,Betcity,Bayer 04 (fleshka77) Esports,B.M'gladbach (skripp) Esports,Ф2(2),21,1,2.052,2,0
Киберфутбол,43.51,1 сек,1xbet,Bayer 04 (fleshka77) Esports,B.M'gladbach (skripp) Esports,Г2(1),3.252,2,2.578,8,1xbet
Киберфутбол,0.93,3 сек,Betcity,Bayer 04 (fleshka77) Esports,B.M'gladbach (skripp) Esports,2,41,1,1.354,4,Betcity
Киберфутбол,0.18,1 сек,Betcity,Hoffenheim (skripp) Esports,Leicester (SpursMax) Esports,Тб(6.5),2.6252,2,1.625,5,Betcity
Киберфутбол,0.61,0 сек,1xbet,Hoffenheim (skripp) Esports,Leicester (SpursMax) Esports,Тм(5.5),2.254,4,1.827,7,1xbet
Киберфутбол,0,2 сек,Betcity,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,Команда2 Тб(2.5),21,1,22,2,0
Киберфутбол,3.61,1 сек,Betcity,Real Sociedad (AlBack) Esports,Roma (Yoshi) Esports,Тб(3.5),23,3,2.155,5,0
Киберфутбол,0.49,0 сек,Betcity,Real Sociedad (AlBack) Esports,Roma (Yoshi) Esports,Команда1 Тб(1.5),2.21,1,1.852,2,0
Киберфутбол,2.16,1 сек,Betcity,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,Команда1 Тб(1.5),3.251,1,1.492,2,0
Киберфутбол,5.88,1 мин 21 сек,Betcity,Villarreal (Indenfor) Esports,Hoffenheim (skripp) Esports,Тб(2.5),24,4,2.257,7,Betcity
